DS_COR_RACA,DS_GENERO,count,sum,mean,median
AMARELA,FEMININO,6,2435170.24,405861.7066666667,346223.76
AMARELA,MASCULINO,28,56236172.2,2008434.7214285715,514738.865
BRANCA,FEMININO,1274,1122891004.75,881390.1136185243,311227.26
BRANCA,MASCULINO,7527,18774645442.81,2494306.555441743,527839.1
INDÍGENA,FEMININO,6,2378266.37,396377.72833333333,256898.66999999998
INDÍGENA,MASCULINO,25,11307864.91,452314.5964,168000.0
NÃO INFORMADO,FEMININO,5,1563682.57,312736.514,80000.0
NÃO INFORMADO,MASCULINO,53,36439856.16,687544.4558490565,317000.0
PARDA,FEMININO,614,456574399.42,743606.5137133551,279867.0
PARDA,MASCULINO,3849,4566289352.41,1186357.3272044687,407495.51
PRETA,FEMININO,112,1447327882.44,12922570.378928572,175000.0
PRETA,MASCULINO,436,298359264.47,684310.2396100918,256147.24
